model_family,optimizer,learning_rate,run_id,adamw_median_final_target,target_reached,first_observed_stage,first_observed_fraction,first_observed_checkpoint_step,first_observed_score,first_observed_estimated_useful_wall_time_hours,final_score,final_score_minus_target,censoring
dense,adamw,1e-05,adamw-lr1e-5,0.5857621428571429,True,2,0.4,1563,0.5863078571428572,1.4069866980524586,0.5881114285714286,0.0023492857142857204,observed
dense,adamw,1e-06,adamw-lr1e-6,0.5857621428571429,False,,,,,,0.5649735714285714,-0.02078857142857149,right-censored-after-stage-5
dense,adamw,3e-05,adamw-lr3e-5,0.5857621428571429,True,2,0.4,1563,0.5891535714285714,1.4258047040740758,0.5898671428571428,0.004104999999999914,observed
dense,adamw,3e-06,adamw-lr3e-6,0.5857621428571429,False,,,,,,0.5834128571428572,-0.0023492857142857204,right-censored-after-stage-5
dense,muon,0.001,muon-lr1e-3,0.5857621428571429,True,2,0.4,1563,0.5914078571428572,1.4759260717006315,0.58915,0.0033878571428570536,observed
dense,muon,0.0001,muon-lr1e-4,0.5857621428571429,True,2,0.4,1563,0.587565,1.491684636407073,0.5910671428571429,0.005305000000000004,observed
dense,muon,0.003,muon-lr3e-3,0.5857621428571429,False,,,,,,0.560775,-0.024987142857142874,right-censored-after-stage-5
dense,muon,0.0003,muon-lr3e-4,0.5857621428571429,True,1,0.2,782,0.588225,0.7486749576137993,0.5923092857142858,0.0065471428571428625,observed
dense,normuon,0.001,normuon-lr1e-3,0.5857621428571429,True,2,0.4,1563,0.5919192857142856,1.507348310529751,0.5909621428571429,0.005199999999999982,observed
dense,normuon,0.0001,normuon-lr1e-4,0.5857621428571429,True,2,0.4,1563,0.5889957142857143,1.5074503961997971,0.5909785714285715,0.005216428571428566,observed
dense,normuon,0.003,normuon-lr3e-3,0.5857621428571429,False,,,,,,0.5633857142857143,-0.02237642857142863,right-censored-after-stage-5
dense,normuon,0.0003,normuon-lr3e-4,0.5857621428571429,True,1,0.2,782,0.5880978571428571,0.7557093019352064,0.5934292857142858,0.007667142857142872,observed
late,adamw,1e-05,adamw-lr1e-5,0.5897753571428571,True,2,0.4,1563,0.5900814285714285,3.372941124192491,0.5953807142857143,0.005605357142857148,observed
late,adamw,1e-06,adamw-lr1e-6,0.5897753571428571,False,,,,,,0.5700771428571428,-0.019698214285714277,right-censored-after-stage-5
late,adamw,3e-05,adamw-lr3e-5,0.5897753571428571,True,1,0.2,782,0.5924357142857143,1.672570537762446,0.5958271428571429,0.006051785714285773,observed
late,adamw,3e-06,adamw-lr3e-6,0.5897753571428571,False,,,,,,0.58417,-0.005605357142857148,right-censored-after-stage-5
late,muon,0.001,muon-lr1e-3,0.5897753571428571,True,2,0.4,1563,0.5941414285714286,3.377061609024662,0.59661,0.006834642857142859,observed
late,muon,0.0001,muon-lr1e-4,0.5897753571428571,True,3,0.6,2345,0.5924085714285714,4.99217918187956,0.5931671428571429,0.0033917857142857777,observed
late,muon,0.003,muon-lr3e-3,0.5897753571428571,False,,,,,,0.57701,-0.012765357142857092,right-censored-after-stage-5
late,muon,0.0003,muon-lr3e-4,0.5897753571428571,True,1,0.2,782,0.5923071428571428,1.6726278815276854,0.5972314285714285,0.007456071428571409,observed
late,normuon,0.001,normuon-lr1e-3,0.5897753571428571,True,1,0.2,782,0.5913535714285715,1.6916138849275622,0.5961528571428572,0.006377500000000036,observed
late,normuon,0.0001,normuon-lr1e-4,0.5897753571428571,True,3,0.6,2345,0.5918728571428571,5.039717937383598,0.5932757142857142,0.0035003571428571245,observed
late,normuon,0.003,normuon-lr3e-3,0.5897753571428571,False,,,,,,0.5764978571428572,-0.013277499999999942,right-censored-after-stage-5
late,normuon,0.0003,normuon-lr3e-4,0.5897753571428571,True,1,0.2,782,0.5906,1.6934669278729912,0.5963392857142857,0.006563928571428623,observed
